name,smarts,reactant1,reactant2,uni/bi
0,[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7]:[#6](-[*:4]):[#6](-[*:5]):[#6](-[*:6]):[#6]:2:[#6]:1-[*:7]>>[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7]:[#6](-[*:4]):[#7]:[#6](-[*:6]):[#6]:2:[#6]:1-[*:7],[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7]:[#6](-[*:4]):[#6](-[*:5]):[#6](-[*:6]):[#6]:2:[#6]:1-[*:7],,uni
1,[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7&H1](:[#6](-[*:4]):[#6](-[*:5]):[#6]:2:[#6]:1-[*:6])-[H]>>[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7]:[#6](-[*:4]):[#7]:[#6](-[*:5]):[#6]:2:[#6]:1-[*:6],[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7&H1](:[#6](-[*:4]):[#6](-[*:5]):[#6]:2:[#6]:1-[*:6])-[H],,uni
2,[*:1]-[#6]1:[#6]2:[#6](:[#7&H1](:[#6]3:[#6]:2-[#6](-[*:2])(-[#6](-[*:3])(-[#6]-3(-[*:4])-[H])-[H])-[H])-[H]):[#6](-[*:5]):[#6](-[*:6]):[#6]:1-[*:7]>>[*:7]-[#6]1:[#6](-[*:6]):[#6](-[*:5]):[#6]2:[#7]:[#6]3-[#6](-[*:4])(-[#6](-[*:3])(-[#6](-[*:2])(-[#6]:3:[#7]:[#6]:2:[#6]:1-[*:1])-[H])-[H])-[H],[*:1]-[#6]1:[#6]2:[#6](:[#7&H1](:[#6]3:[#6]:2-[#6](-[*:2])(-[#6](-[*:3])(-[#6]-3(-[*:4])-[H])-[H])-[H])-[H]):[#6](-[*:5]):[#6](-[*:6]):[#6]:1-[*:7],,uni
3,[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7&H1](:[#6]3:[#6](-[#6](-[*:4])(-[#6](-[*:5])(-[#6](-[*:6])(-[#6]-3(-[*:7])-[H])-[H])-[H])-[H]):[#6]:2:[#6]:1-[*:8])-[H]>>[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7]:[#6]3-[#6](-[*:7])(-[#6](-[*:6])(-[#6](-[*:5])(-[#6](-[*:4])(-[#6]:3:[#7]:[#6]:2:[#6]:1-[*:8])-[H])-[H])-[H])-[H],[*:1]-[#6]1:[#6](-[*:2]):[#6](-[*:3]):[#6]2:[#7&H1](:[#6]3:[#6](-[#6](-[*:4])(-[#6](-[*:5])(-[#6](-[*:6])(-[#6]-3(-[*:7])-[H])-[H])-[H])-[H]):[#6]:2:[#6]:1-[*:8])-[H],,uni
4,[#8]=[#6](-[*:1])-[#6]1(-[#7](-[*:2])-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H]>>[#8]=[#6](-[*:1])-[#6]1(-[#6](-[#7](-[*:2])-[H])(-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H],[#8]=[#6](-[*:1])-[#6]1(-[#7](-[*:2])-[#6](-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],,uni
5,[#8-]-[#7+]1:[#7]:[#6](-[*:1]):[#6](:[#6](:[#6]:1-[*:2])-[H])-[H]>>[*:1]-[#6]1:[#7]:[#7H]:[#6](-[#6](-[*:2])=[#8]):[#6]:1,[#8-]-[#7+]1:[#7]:[#6](-[*:1]):[#6](:[#6](:[#6]:1-[*:2])-[H])-[H],,uni
6,[#8]=[#6]1-[#6](-[#6](=[#8])-[H])(-[*:1])-[#6](-[#6](-[#6](-[#6]-1(-[*:2])-[*:3])(-[H])-[H])(-[H])-[H])(-[H])-[H]>>[*:3]-[#6]1(-[*:2])-[#6](-[*:1])(-[#6](-[#8]-[H])=[#8])-[#6](-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])(-[H])-[H],[#8]=[#6]1-[#6](-[#6](=[#8])-[H])(-[*:1])-[#6](-[#6](-[#6](-[#6]-1(-[*:2])-[*:3])(-[H])-[H])(-[H])-[H])(-[H])-[H],,uni
7,[#8]=[#6](-[#8]-[*:1])-[#6]1(-[*:2])-[#6](-[*:3])(-[*:4])-[#6](-[*:5])(-[*:6])-[#6](-[*:7])(-[#7]-1-[H])-[H]>>[#8]=[#6](-[#8]-[*:1])-[#6]1(-[*:2])-[#6](-[*:7])-[#6](-[*:6])(-[*:5])-[#6]-1(-[*:3])-[*:4],[#8]=[#6](-[#8]-[*:1])-[#6]1(-[*:2])-[#6](-[*:3])(-[*:4])-[#6](-[*:5])(-[*:6])-[#6](-[*:7])(-[#7]-1-[H])-[H],,uni
8,[*:1]-[#6]1:[#6](:[#6](:[#6]2:[#6](:[#6](:[#6](:[#6](-[#6](-[#8]-[#6](-[#6]3:[#6](:[#6](:[#6]4:[#6](:[#6](-[*:2]):[#6](:[#6](:[#6]:4:[#6]:3-[H])-[H])-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H]):[#6]:2-[H])-[H])-[H]):[#6]:1-[H])-[H])-[H]>>[*:1]-[#6]1:[#6](:[#6](:[#6]2:[#6](:[#6](:[#6](:[#6](-[#6](-[#6](-[#6]3:[#6](:[#6](:[#6]4:[#6](:[#6](-[*:2]):[#6](:[#6](:[#6]:4:[#6]:3-[H])-[H])-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H]):[#6]:2-[H])-[H])-[H]):[#6]:1-[H])-[H])-[H],[*:1]-[#6]1:[#6](:[#6](:[#6]2:[#6](:[#6](:[#6](:[#6](-[#6](-[#8]-[#6](-[#6]3:[#6](:[#6](:[#6]4:[#6](:[#6](-[*:2]):[#6](:[#6](:[#6]:4:[#6]:3-[H])-[H])-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H]):[#6]:2-[H])-[H])-[H]):[#6]:1-[H])-[H])-[H],,uni
9,[*:1]-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#6](-[#8]-[#6](-[#6]1:[#6](-[*:2]):[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H])-[H])-[H]>>[*:1]-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#6](-[#6](-[#6]1:[#6](-[*:2]):[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H])-[H])-[H],[*:1]-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#6](-[#8]-[#6](-[#6]1:[#6](-[*:2]):[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H])-[H])-[H],,uni